"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
226;40,493;0,6748833333;1674551326,002;0,663171494;5;0,67;3,35;0;0;0
227;40,792;0,6798666667;1674551326,302;0,662927623;5;0,66;3,3;0;0;0
228;41,093;0,6848833333;1674551326,586;0,663493553;5;0,66;3,3;0;0;0
229;41,393;0,6898833333;1674551326,884;0,661179572;5;0,66;3,3;0;0;0
230;41,693;0,6948833333;1674551327,231;0,661890707;5;0,66;3,3;0;0;0
231;42,004;0,7000666667;1674551327,498;0,663805372;5;0,66;3,3;0;0;0
232;42,293;0,7048833333;1674551327,798;0,662270475;5;0,66;3,3;0;0;0
233;42,593;0,7098833333;1674551328,1;0,663202676;5;0,66;3,3;0;0;0
234;42,906;0,7151;1674551328,402;0,663637362;5;0,66;3,3;0;0;0
235;43,193;0,7198833333;1674551328,685;0,663017446;5;0,66;3,3;0;0;0
236;43,493;0,7248833333;1674551329,022;0,665769371;5;0,66;3,3;0;0;0
237;43,793;0,7298833333;1674551329,291;0,523549829;5;0,52;2,6;0;0;0
238;44,096;0,7349333333;1674551329,604;0,523253833;5;0,52;2,6;0;0;0
239;44,393;0,7398833333;1674551329,903;0,523362272;5;0,52;2,6;0;0;0
240;44,693;0,7448833333;1674551330,187;0,522822405;5;0,52;2,6;0;0;0
241;44,993;0,7498833333;1674551330,516;0,436217525;5;0,47;2,35;0;0;0
242;45,294;0,7549;1674551330,8;0,437630953;5;0,44;2,2;0;0;0
243;45,593;0,7598833333;1674551331,085;0,436083489;5;0,43;2,15;0;0;0
244;45,894;0,7649;1674551331,399;0,435630653;5;0,43;2,15;0;0;0
245;46,194;0,7699;1674551331,7;0,435837757;5;0,44;2,2;0;0;0
246;46,505;0,7750833333;1674551331,997;0,435191313;5;0,43;2,15;0;0;0
247;46,793;0,7798833333;1674551332,313;0,436099313;5;0,43;2,15;0;0;0
248;47,093;0,7848833333;1674551332,611;0,43663313;5;0,43;2,15;0;0;0
249;47,393;0,7898833333;1674551332,894;0,435143842;5;0,43;2,15;0;0;0
250;47,693;0,7948833333;1674551333,209;0,434888336;5;0,43;2,15;0;0;0
251;47,993;0,7998833333;1674551333,498;0,434731495;5;0,43;2,15;0;0;0
252;48,293;0,8048833333;1674551333,797;0,435378405;5;0,43;2,15;0;0;0
253;48,593;0,8098833333;1674551334,125;0,476185822;5;0,43;2,15;0;0;0
254;48,893;0,8148833333;1674551334,39;0,645598829;5;0,5;2,5;0;0;0
255;49,196;0,8199333333;1674551334,704;0,645031968;5;0,65;3,25;0;0;0
256;49,493;0,8248833333;1674551335,033;0,646578035;5;0,65;3,25;0;0;0
257;49,793;0,8298833333;1674551335,284;0,64578499;5;0,65;3,25;0;0;0
258;50,094;0,8349;1674551335,592;0,64757167;5;0,64;3,2;0;0;0
259;50,393;0,8398833333;1674551335,908;0,6458669;5;0,65;3,25;0;0;0
260;50,693;0,8448833333;1674551336,189;0,645825945;5;0,65;3,25;0;0;0
261;50,993;0,8498833333;1674551336,521;0,645372178;5;0,65;3,25;0;0;0
262;51,295;0,8549166667;1674551336,789;0,64649659;5;0,65;3,25;0;0;0
263;51,593;0,8598833333;1674551337,095;0,64702808;5;0,65;3,25;0;0;0
264;51,893;0,8648833333;1674551337,425;0,647673593;5;0,65;3,25;0;0;0
265;52,194;0,8699;1674551337,694;0,646766989;5;0,65;3,25;0;0;0
266;52,493;0,8748833333;1674551337,991;0,647250077;5;0,65;3,25;0;0;0
267;52,796;0,8799333333;1674551338,304;0,647769;5;0,65;3,25;0;0;0
268;53,093;0,8848833333;1674551338,588;0,64692476;5;0,65;3,25;0;0;0
269;53,393;0,8898833333;1674551338,916;0,646113564;5;0,65;3,25;0;0;0
270;53,694;0,8949;1674551339,2;0,659614889;5;0,65;3,25;0;0;0
271;54,005;0,9000833333;1674551339,514;0,646359762;5;0,65;3,25;0;0;0
272;54,295;0,9049166667;1674551339,83;0,64682563;5;0,65;3,25;0;0;0
273;54,593;0,9098833333;1674551340,08;0,647523733;5;0,65;3,25;0;0;0
274;54,901;0,9150166667;1674551340,423;0,649909852;5;0,65;3,25;0;0;0
275;55,193;0,9198833333;1674551340,706;0,645972081;5;0,65;3,25;0;0;0
276;55,493;0,9248833333;1674551341,002;0,646906144;5;0,65;3,25;0;0;0
277;55,793;0,9298833333;1674551341,313;0,646751165;5;0,65;3,25;0;0;0
278;56,093;0,9348833333;1674551341,582;0,646362554;5;0,65;3,25;0;0;0
279;56,393;0,9398833333;1674551341,897;0,64711511;5;0,65;3,25;0;0;0
280;56,693;0,9448833333;1674551342,206;0,647366427;5;0,65;3,25;0;0;0
281;56,993;0,9498833333;1674551342,489;0,647614021;5;0,65;3,25;0;0;0
282;57,294;0,9549;1674551342,819;0,648136203;5;0,65;3,25;0;0;0
283;57,593;0,9598833333;1674551343,086;0,648583455;5;0,65;3,25;0;0;0
284;57,894;0,9649;1674551343,401;0,649218729;5;0,65;3,25;0;0;0
285;58,206;0,9701;1674551343,713;0,524111105;5;0,65;3,25;0;0;0
286;58,493;0,9748833333;1674551343,995;0,524081784;5;0,52;2,6;0;0;0
287;58,797;0,97995;1674551344,327;0,485232315;5;0,52;2,6;0;0;0
288;59,092;0,9848666667;1674551344,609;0,43365595;5;0,49;2,45;0;0;0
289;59,394;0,9899;1674551344,893;0,436581005;5;0,44;2,2;0;0;0
290;59,693;0,9948833333;1674551345,224;0,436746223;5;0,44;2,2;0;0;0
291;59,993;0,9998833333;1674551345,507;0,436216595;5;0,44;2,2;0;0;0
292;60,293;1,0048833333;1674551345,789;0,436082093;5;0,44;2,2;0;0;0
293;60,593;1,0098833333;1674551346,118;0,4363497;5;0,44;2,2;0;0;0
294;60,893;1,0148833333;1674551346,399;0,436596363;5;0,44;2,2;0;0;0
295;61,193;1,0198833333;1674551346,691;0,435898725;5;0,44;2,2;0;0;0
296;61,493;1,0248833333;1674551347,02;0,435202483;5;0,44;2,2;0;0;0
297;61,794;1,0299;1674551347,286;0,435436115;5;0,44;2,2;0;0;0
298;62,093;1,0348833333;1674551347,598;0,435896863;5;0,44;2,2;0;0;0
299;62,393;1,0398833333;1674551347,912;0,435888951;5;0,44;2,2;0;0;0
300;62,693;1,0448833333;1674551348,19;0,435423083;5;0,43;2,15;0;0;0
301;62,993;1,0498833333;1674551348,502;0,435652992;5;0,43;2,15;0;0;0
302;63,293;1,0548833333;1674551348,815;0,646171739;5;0,64;3,2;0;0;0
303;63,593;1,0598833333;1674551349,083;0,645990232;5;0,64;3,2;0;0;0
304;63,893;1,0648833333;1674551349,425;0,646092155;5;0,65;3,25;0;0;0
305;64,193;1,0698833333;1674551349,696;0,645561131;5;0,65;3,25;0;0;0
306;64,493;1,0748833333;1674551349,994;0,646984332;5;0,65;3,25;0;0;0
307;64,793;1,0798833333;1674551350,324;0,6458669;5;0,65;3,25;0;0;0
308;65,093;1,0848833333;1674551350,589;0,64542058;5;0,65;3,25;0;0;0
309;65,393;1,0898833333;1674551350,906;0,645915768;5;0,65;3,25;0;0;0
310;65,693;1,0948833333;1674551351,205;0,646860069;5;0,65;3,25;0;0;0
